zip5,lat,lon,state
28692,36.314565,-81.837539,NC
28693,36.471773,-81.559009,NC
28694,36.366337,-81.468016,NC
28697,36.136665,-81.162721,NC
28698,36.314036,-81.760871,NC
28701,35.705098,-82.636467,NC
28702,35.379976,-83.641979,NC
28704,35.461429,-82.570815,NC
28705,36.035191,-82.15147,NC
28707,35.398716,-83.066194,NC
28708,35.271025,-82.859823,NC
28709,35.771399,-82.379244,NC
28710,35.456921,-82.279711,NC
28711,35.600604,-82.269687,NC
28712,35.173309,-82.770828,NC
28713,35.3657,-83.511664,NC
28714,35.878311,-82.304894,NC
28715,35.511966,-82.711701,NC
28716,35.439341,-82.847925,NC
28717,35.049543,-83.093326,NC
28718,35.159132,-82.634981,NC
28719,35.510891,-83.520266,NC
28720,35.447724,-82.262195,NC
28721,35.633768,-82.930786,NC
28722,35.208479,-82.061,NC
28723,35.314077,-83.013475,NC
28725,35.382223,-83.268112,NC
28726,35.280999,-82.416555,NC
28729,35.319556,-82.602883,NC
28730,35.5314,-82.359785,NC
28731,35.293544,-82.380326,NC
28732,35.451749,-82.445742,NC
28733,35.427397,-83.776971,NC
28734,35.179313,-83.436973,NC
28735,35.475405,-82.348507,NC
28736,35.175658,-83.086467,NC
28739,35.273876,-82.528602,NC
28740,36.025664,-82.305281,NC
28741,35.066425,-83.210613,NC
28742,35.38276,-82.651275,NC
28743,35.800283,-82.881224,NC
28745,35.522124,-82.973977,NC
28746,35.477191,-82.161693,NC
28747,35.145558,-82.917326,NC
28748,35.654923,-82.760267,NC
28749,35.841043,-82.097874,NC
28751,35.505476,-83.119564,NC
28752,35.709599,-82.035573,NC
28753,35.864206,-82.712631,NC
28754,35.876857,-82.514362,NC
28755,35.908203,-82.217538,NC
28756,35.355885,-82.208566,NC
28757,35.64804,-82.299164,NC
28758,35.374886,-82.495691,NC
28759,35.38135,-82.588899,NC
28761,35.690316,-81.906845,NC
28762,35.635334,-82.189772,NC
28763,35.028709,-83.465935,NC
